id,family,language,title,translation,form,photo,size,dough,stuffing, method,extra,comments,sources,мука,яйцо,вода,соль,настой зеленого чая,кукурузная мука,мясо,рыба,творог,зелень,картофель,другие овощи,редька,фрукты,ягоды,бульон,сметана,масло,уксус,жареные.ребра.или.стейки
11,Уральская,Moksha,"Цемор (цемарт, цемäра)",,лодочки,https://img.povar.ru/uploads/94/a1/f7/e8/mordovskie_pelmeni-573613.jpg,,"мука, яйцо, вода, соль",мясо,В воде,"бульон, сметана, масло",,"<a href=""https://www.russianfood.com/recipes/recipe.php?rid=56206"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
12,Уральская,Eastern Mari,Подкогыльо,,полумесяц,https://img.povar.ru/main/0b/26/fc/a9/podkogilo-109461.jpg,,"мука, яйцо, вода",мясо / творог / картофель,В воде,"сметана, масло",,"<a href=""https://povar.ru/recipes/podkogylo-19101.html"">ссылка</a>",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
13,Нахско-дагестанская,Chechen,Холтмаш,"лепешка, начененная зеленью",шарики,https://chetour.me/cachenews/400/100/2019-08-17-22-04-14_940327.jpg/,10,"кукурузная мука, пшеничная мука, вода, соль",зелень,В воде,"сметана, масло",ранняя весна,"<a href=""http://sun-trek.ru/sovety/blyuda_natsionalnoy_kukhni_chechni/"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
14,Нахско-дагестанская,Avar,Юмурта Хинкал,азейрб. яичный Хинкал,лодочки,http://4.bp.blogspot.com/-5h6qM-amrKc/VJNCRVmXvGI/AAAAAAAAKdw/3H1qTb36a1U/s1600/a%C4%9F%C4%B1z%2Bkurze.jpg,8,"мука, яйцо, вода, соль",зелень,В воде,неизвестно,"подвид Курзе для особых случаев, повод: рождение ребенка, свадьба, сватовство","<a href=""https://www.youtube.com/watch?v=zSvFWSzqnpk"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE
15,Нахско-дагестанская,Avar (2),МичIчIил-хинкIал,крапивный хинкал,лодочки,https://i.ytimg.com/vi/JHXjEsNyQAM/hqdefault.jpg,8,"мука, яйцо, вода, соль",зелень,В воде,"сметана, масло",повод: гости,"<a href=""https://www.youtube.com/watch?v=DwrIn-zrBA4"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
16,Нахско-дагестанская,Lezgian,"Пичекар (пичӏекар, пчекар)",курзэ с зеленою,лодочки,https://i.ytimg.com/vi/T2NaZJ31iWQ/sddefault.jpg,8,"мука, яйцо, вода, соль",зелень,В воде,масло,повод: весна,"<a href=""https://www.youtube.com/watch?v=-bZzAjD48JM"">ссылка 1</a>, <a href=""https://www.youtube.com/watch?v=T2NaZJ31iWQ"">ссылка 2</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
17,Нахско-дагестанская,North-Central Dargwa,Курзе,,лодочки,https://i.mycdn.me/i?r=AzEPZsRbOZEKgBhR0XGMT1Rk1UTK9oSYdaFoIbZTpP_QD6aKTM5SRkZCeTgDn6uOyic,5,"мука, яйцо, вода, соль",мясо,В воде,"сметана, масло","Курбан-Байрам (так как забивают барана и есть свежее мясо) , но не обязательно","<a href=""https://vkusnostibymado.ru/kurze-s-myasom/"">ссылка 1</a>, <a href=""https://www.youtube.com/watch?v=9RrtVZU1Etg"">ссылка 2</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
18,Абхазо-адыгская,Adyghe,Лихалюж,,лодочки,https://i.ytimg.com/vi/xNJUkpV2oDc/hqdefault.jpg,,"мука, яйцо, вода, соль",мясо,В воде,сметана,,"<a href=""https://www.russianfood.com/recipes/recipe.php?rid=22241"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
20,Абхазо-адыгская,Abaza,Пcхалъыва,,полумесяц,https://img11.postila.ru/resize?w=640&src=%2Fdata%2F41%2F90%2F72%2Fbf%2F419072bf33d82c0f2ba10e158b64ce4976e7144a2c5bb30f10ae1563214a8e02.jpg,,"мука, яйцо, вода, соль",картофель,В воде,"сметана, масло",,"<a href=""https://ok.ru/kavkuhnya/topic/151431728264651"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
21,Индо-европейская,Russian,Пельмени,,кораблик,https://img01.rl0.ru/eda/c620x415i/s2.eda.ru/StaticContent/Photos/131127180426/131204002435/p_O.jpg,,"мука, яйцо, вода, соль",мясо,В воде,"сметана, масло, уксус",,"<a href=""https://eda.ru/recepty/osnovnye-blyuda/pelmeni-20811"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
22,Индо-европейская,Russian (2),Вареники,,полумесяц,https://static.1000.menu/img/content/34864/vareniki-s-tvorogom-i-zelenu_1558224049_1_max.jpg,5,"мука, яйцо, вода, соль",творог / овощи / фрукты / ягоды,В воде,сметана,,"<a href=""http://www.langet.ru/html/v/vareniki.html"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
23,Индо-европейская,Baltic Romani,Канорэ,,кораблик,https://i.ytimg.com/vi/8CYSbnm56VE/sddefault.jpg,5,"мука, яйцо, вода, соль",мясо,В воде + жарят,жареные ребра или стейки,"повод - рождество, похвала - тонкое тесто, мясо внутри должно быть с бульоном","<a href=""https://www.youtube.com/watch?v=tuUjs045gkw"">ссылка</a>",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
